asset_id,exchange_code,symbol,name_cn,source_status,final_rule_status,rule_parseable,special_review_flag,special_review_reason,static_rule_missing_fields,tick_size,contract_month_rule,contract_rule_code,last_trading_day_rule,settlement_type,delivery_rule,margin_rule,price_limit_rule,position_limit_rule,official_source_url,notes,suggested_next_step
FUT_CZCE_AP,CZCE,AP,苹果,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,"1,3,4,5,7,10,11,12",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.09; margin_rate_short=0.09; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_CF,CZCE,CF,郑棉,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,5.0,"1,3,4,5,6,7,8,9,10,11,12",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_CJ,CZCE,CJ,红枣,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,5.0,"1,3,5,7,9,12",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.08; margin_rate_short=0.08; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_CY,CZCE,CY,棉纱,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,5.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.15; margin_rate_short=0.15; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_ER,CZCE,ER,早籼稻,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,SPECIAL_OR_INACTIVE_NEED_REVIEW,N,Y,SPECIAL_OR_INACTIVE_OR_NON_STANDARD_CONTRACT_NEED_REVIEW,tick_size;last_trading_day_rule;settlement_type;delivery_rule,TODO,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review,需要确认该品种是否仍属于有效套利资产池，若为历史或特殊合约可单独标记或剔除。
FUT_CZCE_FG,CZCE,FG,玻璃,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.1; margin_rate_short=0.1; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_JR,CZCE,JR,粳稻,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.25; margin_rate_short=0.25; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_LR,CZCE,LR,晚籼稻,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,SPECIAL_OR_INACTIVE_NEED_REVIEW,N,Y,SPECIAL_OR_INACTIVE_OR_NON_STANDARD_CONTRACT_NEED_REVIEW,tick_size;last_trading_day_rule;settlement_type;delivery_rule,TODO,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review,需要确认该品种是否仍属于有效套利资产池，若为历史或特殊合约可单独标记或剔除。
FUT_CZCE_MA,CZCE,MA,甲醇,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_ME,CZCE,ME,甲醇,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,SPECIAL_OR_INACTIVE_NEED_REVIEW,N,Y,SPECIAL_OR_INACTIVE_OR_NON_STANDARD_CONTRACT_NEED_REVIEW,tick_size;last_trading_day_rule;settlement_type;delivery_rule,TODO,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review,需要确认该品种是否仍属于有效套利资产池，若为历史或特殊合约可单独标记或剔除。
FUT_CZCE_OI,CZCE,OI,菜油,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PF,CZCE,PF,短纤,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PK,CZCE,PK,花生,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,"1,3,4,5,10,11,12",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PL,CZCE,PL,丙烯,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PM,CZCE,PM,普麦,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.4; margin_rate_short=0.4; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PR,CZCE,PR,瓶片,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_PX,CZCE,PX,对二甲苯,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,2.0,1-12月,CONTINUOUS_12_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_RI,CZCE,RI,早籼稻,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.25; margin_rate_short=0.25; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_RM,CZCE,RM,菜粕,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,"1,3,5,7,8,9,11",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.07; margin_rate_short=0.07; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
FUT_CZCE_RO,CZCE,RO,菜油,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,SPECIAL_OR_INACTIVE_NEED_REVIEW,N,Y,SPECIAL_OR_INACTIVE_OR_NON_STANDARD_CONTRACT_NEED_REVIEW,tick_size;last_trading_day_rule;settlement_type;delivery_rule,TODO,1、3、5、7、9、11月,ODD_MONTHS,CHECK,CHECK,CHECK,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review,需要确认该品种是否仍属于有效套利资产池，若为历史或特殊合约可单独标记或剔除。
FUT_CZCE_RS,CZCE,RS,菜籽,INFERRED_FROM_TUSHARE_LISTED_CONTRACTS_NEED_REVIEW,INFERRED_NEED_REVIEW,N,N,,last_trading_day_rule;settlement_type;delivery_rule,1.0,"7,8,9,11",INFERRED_FIXED_MONTHS,CHECK,CHECK,CHECK,AKShare/OpenCTP margin_rate_long=0.4; margin_rate_short=0.4; update_time=2026-05-22 12:38:28,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,,"由 futures_master 自动生成交易规则详情表骨架，规则字段后续需根据交易所官网或人工规则表补充。 | auto_filled_from_tushare: trading_hours/observed_delivery_months/sample_last_ddate | akshare_openctp_fill: filled contract_multiplier/tick_size/margin_rule, need review | inferred_contract_month_rule_from_tushare_observed_delivery_months: need review",需通过交易所官网标准合约、业务细则或人工规则表确认剩余静态交易规则。
