asset_id,symbol,name_cn,asset_type,subtype,exchange_code,exchange_name,country,currency,contract_month_rule,contract_rule_code,contract_rule_desc_cn,contract_rule_params,listed_contract_count_rule,expiry_rule,expiry_rule_code,last_trading_day_rule,delivery_day_rule,exercise_rule,exercise_type,settlement_type,contract_multiplier,contract_unit,tick_size,quote_unit,price_limit_rule,margin_rule,trading_hours,night_trading,position_limit_rule,delivery_rule,rule_parseable,data_source_1,data_source_2,data_source_3,source_status,update_date,notes,underlying_asset_id,underlying_symbol,underlying_group
OPT_CFFEX_HO,HO,上证50股指期权,OPTION,INDEX_OPTION,CFFEX,中国金融期货交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,欧式,CHECK_NEED_EXCHANGE_RULE_REVIEW,100.0,100.0,0.2,指数点,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CFFEX_IH,SSE50,SSE50
OPT_CFFEX_IO,IO,沪深300股指期权,OPTION,INDEX_OPTION,CFFEX,中国金融期货交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,欧式,CHECK_NEED_EXCHANGE_RULE_REVIEW,100.0,100.0,0.2,指数点,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CFFEX_IF,CSI300,CSI300
OPT_CFFEX_MO,MO,中证1000股指期权,OPTION,INDEX_OPTION,CFFEX,中国金融期货交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,欧式,CHECK_NEED_EXCHANGE_RULE_REVIEW,100.0,100.0,0.2,指数点,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CFFEX_IM,CSI1000,CSI1000
OPT_CZCE_AP,AP,苹果期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,10.0,10.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_AP,AP,APPLE
OPT_CZCE_CF,CF,棉花期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,5.0,5.0,1,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_CF,CF,COTTON
OPT_CZCE_CJ,CJ,红枣期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,5.0,5.0,1,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_CJ,CJ,JUJUBE
OPT_CZCE_FG,FG,玻璃期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,20.0,20.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_FG,FG,GLASS
OPT_CZCE_MA,MA,甲醇期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,10.0,10.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_MA,MA,METHANOL
OPT_CZCE_OI,OI,菜籽油期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,10.0,10.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_OI,OI,RAPESEED_OIL
OPT_CZCE_PF,PF,短纤期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,5.0,5.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_PF,PF,POLYESTER_STAPLE_FIBER
OPT_CZCE_PK,PK,花生期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,5.0,5.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_PK,PK,PEANUT
OPT_CZCE_PL,PL,丙烯期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,20.0,20.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_PL,PL,PROPYLENE
OPT_CZCE_PR,PR,瓶片期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,15.0,15.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_PR,PR,BOTTLE_GRADE_PET
OPT_CZCE_PX,PX,对二甲苯期权,OPTION,COMMODITY_OPTION,CZCE,郑州商品交易所,CN,CNY,OBSERVED_EXPIRY_MONTHS_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_EXPIRY_MONTHS_AVAILABLE,OBSERVED_MATURITY_DATES_AVAILABLE,CHECK_NEED_EXCHANGE_RULE_REVIEW,OBSERVED_DELIST_OR_LAST_TRADE_DATES_AVAILABLE,NA_NOT_APPLICABLE_OR_CHECK_BY_EXCHANGE,OBSERVED_LAST_EXERCISE_DATES_AVAILABLE,美式,CHECK_NEED_EXCHANGE_RULE_REVIEW,5.0,5.0,0.5,人民币元/吨,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_NEED_EXCHANGE_RULE_REVIEW,CHECK_DYNAMIC_BY_EXCHANGE_NOTICE,CHECK_NEED_EXCHANGE_RULE_REVIEW,Y,Tushare,AKShare,TqSdk,OPTION_RULE_TUSHARE_PRIMARY_NEED_REVIEW,2026-05-22,基于 Tushare opt_basic 自动生成期权规则草稿；正式到期日规则、挂牌合约数量规则、行权规则需交易所规则复核。,FUT_CZCE_PX,PX,PARAXYLENE
