chain_id,industry_name,chain_segment,asset_id_a,asset_id_b,symbol_a,symbol_b,name_a,name_b,asset_type_a,asset_type_b,exchange_a,exchange_b,underlying_group_a,underlying_group_b,relation_direction,relation_type,relation_strength,strategy_type,mapping_confidence,tradable_check,direction_supported,long_short_note,data_source,source_status,notes
CHAIN_BLACK_001,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_I,FUT_SHFE_RB,I,RB,铁矿石,螺纹钢,FUTURE,FUTURE,DCE,SHFE,IRON_ORE,REBAR,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,IRON_ORE -> REBAR 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_002,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_I,FUT_SHFE_HC,I,HC,铁矿石,热轧卷板,FUTURE,FUTURE,DCE,SHFE,IRON_ORE,HOT_ROLLED_COIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,IRON_ORE -> HOT_ROLLED_COIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_003,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_JM,FUT_DCE_J,JM,J,焦煤,焦炭,FUTURE,FUTURE,DCE,DCE,COKING_COAL,COKE,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,COKING_COAL -> COKE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_004,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_J,FUT_SHFE_RB,J,RB,焦炭,螺纹钢,FUTURE,FUTURE,DCE,SHFE,COKE,REBAR,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,COKE -> REBAR 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_005,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_DCE_J,FUT_SHFE_HC,J,HC,焦炭,热轧卷板,FUTURE,FUTURE,DCE,SHFE,COKE,HOT_ROLLED_COIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,COKE -> HOT_ROLLED_COIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_006,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_SF,FUT_SHFE_RB,SF,RB,硅铁,螺纹钢,FUTURE,FUTURE,CZCE,SHFE,FERROSILICON,REBAR,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,FERROSILICON -> REBAR 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_007,黑色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_SM,FUT_SHFE_RB,SM,RB,锰硅,螺纹钢,FUTURE,FUTURE,CZCE,SHFE,SILICOMANGANESE,REBAR,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,SILICOMANGANESE -> REBAR 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_BLACK_008,黑色产业链,SUBSTITUTE,FUT_SHFE_RB,FUT_SHFE_HC,RB,HC,螺纹钢,热轧卷板,FUTURE,FUTURE,SHFE,SHFE,REBAR,HOT_ROLLED_COIL,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,REBAR 与 HOT_ROLLED_COIL 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_001,有色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_SHFE_AO,FUT_SHFE_AL,AO,AL,氧化铝,沪铝,FUTURE,FUTURE,SHFE,SHFE,ALUMINA,ALUMINUM,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,ALUMINA -> ALUMINUM 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_002,有色产业链,UPSTREAM_TO_DOWNSTREAM,FUT_SHFE_AL,FUT_SHFE_AD,AL,AD,沪铝,铸造铝合金,FUTURE,FUTURE,SHFE,SHFE,ALUMINUM,CAST_ALUMINUM_ALLOY,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,ALUMINUM -> CAST_ALUMINUM_ALLOY 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_003,有色产业链,RELATED,FUT_INE_BC,FUT_SHFE_AL,BC,AL,国际铜,沪铝,FUTURE,FUTURE,INE,SHFE,COPPER,ALUMINUM,BIDIRECTIONAL,SAME_SECTOR_RELATED,MEDIUM,SPREAD_RELATED,MEDIUM,BOTH_TRADABLE,BIDIRECTIONAL,COPPER 与 ALUMINUM 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_004,有色产业链,RELATED,FUT_SHFE_ZN,FUT_SHFE_PB,ZN,PB,沪锌,沪铅,FUTURE,FUTURE,SHFE,SHFE,ZINC,LEAD,BIDIRECTIONAL,SAME_SECTOR_RELATED,MEDIUM,SPREAD_RELATED,MEDIUM,BOTH_TRADABLE,BIDIRECTIONAL,ZINC 与 LEAD 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_005,有色产业链,RELATED,FUT_SHFE_NI,FUT_SHFE_SS,NI,SS,沪镍,不锈钢,FUTURE,FUTURE,SHFE,SHFE,NICKEL,STAINLESS_STEEL,BIDIRECTIONAL,COST_DRIVEN,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,NICKEL 与 STAINLESS_STEEL 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_NONFERROUS_006,有色产业链,RELATED,FUT_SHFE_SN,FUT_INE_BC,SN,BC,沪锡,国际铜,FUTURE,FUTURE,SHFE,INE,TIN,COPPER,BIDIRECTIONAL,SAME_SECTOR_RELATED,LOW,SPREAD_RELATED,LOW,BOTH_TRADABLE,BIDIRECTIONAL,TIN 与 COPPER 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_PRECIOUS_001,贵金属,SUBSTITUTE,FUT_SHFE_AU,FUT_SHFE_AG,AU,AG,沪金,沪银,FUTURE,FUTURE,SHFE,SHFE,GOLD,SILVER,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,GOLD 与 SILVER 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_PRECIOUS_002,贵金属,SUBSTITUTE,FUT_GFEX_PD,FUT_GFEX_PT,PD,PT,钯,铂,FUTURE,FUTURE,GFEX,GFEX,PALLADIUM,PLATINUM,BIDIRECTIONAL,SUBSTITUTE,HIGH,PAIR_TRADING,HIGH,BOTH_TRADABLE,BIDIRECTIONAL,PALLADIUM 与 PLATINUM 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_PRECIOUS_003,贵金属,RELATED,FUT_SHFE_AU,FUT_GFEX_PT,AU,PT,沪金,铂,FUTURE,FUTURE,SHFE,GFEX,GOLD,PLATINUM,BIDIRECTIONAL,SAME_SECTOR_RELATED,MEDIUM,SPREAD_RELATED,MEDIUM,BOTH_TRADABLE,BIDIRECTIONAL,GOLD 与 PLATINUM 为双向相关品种，套利方向需结合价差、库存和期限结构确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_001,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_SHFE_FU,SC,FU,原油,燃油,FUTURE,FUTURE,INE,SHFE,CRUDE_OIL,FUEL_OIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> FUEL_OIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_002,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_INE_LU,SC,LU,原油,低硫燃料油,FUTURE,FUTURE,INE,INE,CRUDE_OIL,LOW_SULFUR_FUEL_OIL,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> LOW_SULFUR_FUEL_OIL 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_003,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_SHFE_BU,SC,BU,原油,沥青,FUTURE,FUTURE,INE,SHFE,CRUDE_OIL,BITUMEN,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> BITUMEN 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_004,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_CZCE_TA,SC,TA,原油,PTA,FUTURE,FUTURE,INE,CZCE,CRUDE_OIL,PTA,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> PTA 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_005,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_DCE_L,SC,L,原油,塑料,FUTURE,FUTURE,INE,DCE,CRUDE_OIL,LLDPE,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> LLDPE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_006,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_DCE_PP,SC,PP,原油,聚丙烯,FUTURE,FUTURE,INE,DCE,CRUDE_OIL,POLYPROPYLENE,A_TO_B,COST_DRIVEN,MEDIUM,CROSS_PRODUCT_ARBITRAGE,MEDIUM,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> POLYPROPYLENE 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_007,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_INE_SC,FUT_DCE_V,SC,V,原油,PVC,FUTURE,FUTURE,INE,DCE,CRUDE_OIL,PVC,A_TO_B,COST_DRIVEN,LOW,CHAIN_RELATED,LOW,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,CRUDE_OIL -> PVC 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_008,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_PX,FUT_CZCE_TA,PX,TA,对二甲苯,PTA,FUTURE,FUTURE,CZCE,CZCE,PARAXYLENE,PTA,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PARAXYLENE -> PTA 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_009,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_TA,FUT_CZCE_PF,TA,PF,PTA,短纤,FUTURE,FUTURE,CZCE,CZCE,PTA,POLYESTER_STAPLE_FIBER,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PTA -> POLYESTER_STAPLE_FIBER 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
CHAIN_ENERGY_CHEM_010,能源化工,UPSTREAM_TO_DOWNSTREAM,FUT_CZCE_TA,FUT_CZCE_PR,TA,PR,PTA,瓶片,FUTURE,FUTURE,CZCE,CZCE,PTA,BOTTLE_GRADE_PET,A_TO_B,UPSTREAM_DOWNSTREAM,HIGH,CROSS_PRODUCT_ARBITRAGE,HIGH,BOTH_TRADABLE,A_TO_B_CHAIN_DIRECTION,PTA -> BOTTLE_GRADE_PET 为产业链方向，价差交易需结合成本传导和库存周期确认。,STEP6_BUILT_IN_INDUSTRY_CHAIN_RULES,INDUSTRY_CHAIN_MAPPING_CANDIDATE_NEED_REVIEW,基于 Step 5 fixed underlying_group 和内置产业链关系生成，非套利计算结果。
