mapping_id,future_asset_id,spot_asset_id,future_symbol,spot_symbol,future_name,spot_name,exchange_code,exchange_name,underlying_group,relation_type,strategy_type,mapping_role,tradable_check,direction_supported,price_source_needed,relation_desc_cn
SPOT_MAP_FUT_CZCE_AP_SPOT_CN_APPLE,FUT_CZCE_AP,SPOT_CN_APPLE,AP,APPLE,苹果,苹果现货,CZCE,郑州商品交易所,APPLE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_CF_SPOT_CN_COTTON,FUT_CZCE_CF,SPOT_CN_COTTON,CF,COTTON,郑棉,棉花现货,CZCE,郑州商品交易所,COTTON,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_CJ_SPOT_CN_JUJUBE,FUT_CZCE_CJ,SPOT_CN_JUJUBE,CJ,JUJUBE,红枣,红枣现货,CZCE,郑州商品交易所,JUJUBE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_CY_SPOT_CN_COTTON_YARN,FUT_CZCE_CY,SPOT_CN_COTTON_YARN,CY,COTTON_YARN,棉纱,棉纱现货,CZCE,郑州商品交易所,COTTON_YARN,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_ER_SPOT_CN_EARLY_INDICA_RICE,FUT_CZCE_ER,SPOT_CN_EARLY_INDICA_RICE,ER,EARLY_INDICA_RICE,早籼稻,早籼稻现货,CZCE,郑州商品交易所,EARLY_INDICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_FG_SPOT_CN_GLASS,FUT_CZCE_FG,SPOT_CN_GLASS,FG,GLASS,玻璃,玻璃现货,CZCE,郑州商品交易所,GLASS,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_JR_SPOT_CN_JAPONICA_RICE,FUT_CZCE_JR,SPOT_CN_JAPONICA_RICE,JR,JAPONICA_RICE,粳稻,粳米现货,CZCE,郑州商品交易所,JAPONICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_LR_SPOT_CN_LATE_INDICA_RICE,FUT_CZCE_LR,SPOT_CN_LATE_INDICA_RICE,LR,LATE_INDICA_RICE,晚籼稻,晚籼稻现货,CZCE,郑州商品交易所,LATE_INDICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_MA_SPOT_CN_METHANOL,FUT_CZCE_MA,SPOT_CN_METHANOL,MA,METHANOL,甲醇,甲醇现货,CZCE,郑州商品交易所,METHANOL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_ME_SPOT_CN_METHANOL,FUT_CZCE_ME,SPOT_CN_METHANOL,ME,METHANOL,甲醇,甲醇现货,CZCE,郑州商品交易所,METHANOL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_OI_SPOT_CN_RAPESEED_OIL,FUT_CZCE_OI,SPOT_CN_RAPESEED_OIL,OI,RAPESEED_OIL,菜油,菜籽油现货,CZCE,郑州商品交易所,RAPESEED_OIL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_PF_SPOT_CN_POLYESTER_STAPLE_FIBER,FUT_CZCE_PF,SPOT_CN_POLYESTER_STAPLE_FIBER,PF,POLYESTER_STAPLE_FIBER,短纤,短纤现货,CZCE,郑州商品交易所,POLYESTER_STAPLE_FIBER,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_PK_SPOT_CN_PEANUT,FUT_CZCE_PK,SPOT_CN_PEANUT,PK,PEANUT,花生,花生现货,CZCE,郑州商品交易所,PEANUT,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_PL_SPOT_CN_PROPYLENE,FUT_CZCE_PL,SPOT_CN_PROPYLENE,PL,PROPYLENE,丙烯,丙烯现货,CZCE,郑州商品交易所,PROPYLENE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_PM_SPOT_CN_COMMON_WHEAT,FUT_CZCE_PM,SPOT_CN_COMMON_WHEAT,PM,COMMON_WHEAT,普麦,普麦现货,CZCE,郑州商品交易所,COMMON_WHEAT,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_PR_SPOT_CN_BOTTLE_GRADE_PET,FUT_CZCE_PR,SPOT_CN_BOTTLE_GRADE_PET,PR,BOTTLE_GRADE_PET,瓶片,瓶片现货,CZCE,郑州商品交易所,BOTTLE_GRADE_PET,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_PX_SPOT_CN_PARAXYLENE,FUT_CZCE_PX,SPOT_CN_PARAXYLENE,PX,PARAXYLENE,对二甲苯,对二甲苯现货,CZCE,郑州商品交易所,PARAXYLENE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_RI_SPOT_CN_EARLY_INDICA_RICE,FUT_CZCE_RI,SPOT_CN_EARLY_INDICA_RICE,RI,EARLY_INDICA_RICE,早籼稻,早籼稻现货,CZCE,郑州商品交易所,EARLY_INDICA_RICE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_RM_SPOT_CN_RAPESEED_MEAL,FUT_CZCE_RM,SPOT_CN_RAPESEED_MEAL,RM,RAPESEED_MEAL,菜粕,菜粕现货,CZCE,郑州商品交易所,RAPESEED_MEAL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_RO_SPOT_CN_RAPESEED_OIL,FUT_CZCE_RO,SPOT_CN_RAPESEED_OIL,RO,RAPESEED_OIL,菜油,菜籽油现货,CZCE,郑州商品交易所,RAPESEED_OIL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_RS_SPOT_CN_RAPESEED,FUT_CZCE_RS,SPOT_CN_RAPESEED,RS,RAPESEED,菜籽,油菜籽现货,CZCE,郑州商品交易所,RAPESEED,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_SA_SPOT_CN_SODA_ASH,FUT_CZCE_SA,SPOT_CN_SODA_ASH,SA,SODA_ASH,纯碱,纯碱现货,CZCE,郑州商品交易所,SODA_ASH,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_SF_SPOT_CN_FERROSILICON,FUT_CZCE_SF,SPOT_CN_FERROSILICON,SF,FERROSILICON,硅铁,硅铁现货,CZCE,郑州商品交易所,FERROSILICON,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_SH_SPOT_CN_CAUSTIC_SODA,FUT_CZCE_SH,SPOT_CN_CAUSTIC_SODA,SH,CAUSTIC_SODA,烧碱,烧碱现货,CZCE,郑州商品交易所,CAUSTIC_SODA,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_SM_SPOT_CN_SILICOMANGANESE,FUT_CZCE_SM,SPOT_CN_SILICOMANGANESE,SM,SILICOMANGANESE,锰硅,锰硅现货,CZCE,郑州商品交易所,SILICOMANGANESE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_SR_SPOT_CN_SUGAR,FUT_CZCE_SR,SPOT_CN_SUGAR,SR,SUGAR,白糖,白糖现货,CZCE,郑州商品交易所,SUGAR,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_TA_SPOT_CN_PTA,FUT_CZCE_TA,SPOT_CN_PTA,TA,PTA,PTA,PTA现货,CZCE,郑州商品交易所,PTA,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_TC_SPOT_CN_THERMAL_COAL,FUT_CZCE_TC,SPOT_CN_THERMAL_COAL,TC,THERMAL_COAL,动力煤,动力煤现货,CZCE,郑州商品交易所,THERMAL_COAL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_UR_SPOT_CN_UREA,FUT_CZCE_UR,SPOT_CN_UREA,UR,UREA,尿素,尿素现货,CZCE,郑州商品交易所,UREA,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_WH_SPOT_CN_STRONG_WHEAT,FUT_CZCE_WH,SPOT_CN_STRONG_WHEAT,WH,STRONG_WHEAT,强麦,强麦现货,CZCE,郑州商品交易所,STRONG_WHEAT,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_WS_SPOT_CN_STRONG_WHEAT,FUT_CZCE_WS,SPOT_CN_STRONG_WHEAT,WS,STRONG_WHEAT,强麦,强麦现货,CZCE,郑州商品交易所,STRONG_WHEAT,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_WT_SPOT_CN_HARD_WHEAT,FUT_CZCE_WT,SPOT_CN_HARD_WHEAT,WT,HARD_WHEAT,硬麦,硬麦现货,CZCE,郑州商品交易所,HARD_WHEAT,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_CZCE_ZC_SPOT_CN_THERMAL_COAL,FUT_CZCE_ZC,SPOT_CN_THERMAL_COAL,ZC,THERMAL_COAL,动力煤,动力煤现货,CZCE,郑州商品交易所,THERMAL_COAL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_A_SPOT_CN_SOYBEAN,FUT_DCE_A,SPOT_CN_SOYBEAN,A,SOYBEAN,豆一,大豆现货,DCE,大连商品交易所,SOYBEAN,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_B_SPOT_CN_SOYBEAN,FUT_DCE_B,SPOT_CN_SOYBEAN,B,SOYBEAN,豆二,大豆现货,DCE,大连商品交易所,SOYBEAN,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_BB_SPOT_CN_PLYWOOD,FUT_DCE_BB,SPOT_CN_PLYWOOD,BB,PLYWOOD,胶合板,胶合板现货,DCE,大连商品交易所,PLYWOOD,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_BZ_SPOT_CN_BENZENE,FUT_DCE_BZ,SPOT_CN_BENZENE,BZ,BENZENE,纯苯,纯苯现货,DCE,大连商品交易所,BENZENE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_C_SPOT_CN_CORN,FUT_DCE_C,SPOT_CN_CORN,C,CORN,玉米,玉米现货,DCE,大连商品交易所,CORN,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_CS_SPOT_CN_CORN_STARCH,FUT_DCE_CS,SPOT_CN_CORN_STARCH,CS,CORN_STARCH,玉米淀粉,玉米淀粉现货,DCE,大连商品交易所,CORN_STARCH,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_EB_SPOT_CN_STYRENE,FUT_DCE_EB,SPOT_CN_STYRENE,EB,STYRENE,苯乙烯,苯乙烯现货,DCE,大连商品交易所,STYRENE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_EG_SPOT_CN_ETHYLENE_GLYCOL,FUT_DCE_EG,SPOT_CN_ETHYLENE_GLYCOL,EG,ETHYLENE_GLYCOL,乙二醇,乙二醇现货,DCE,大连商品交易所,ETHYLENE_GLYCOL,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_FB_SPOT_CN_FIBERBOARD,FUT_DCE_FB,SPOT_CN_FIBERBOARD,FB,FIBERBOARD,纤维板,纤维板现货,DCE,大连商品交易所,FIBERBOARD,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_I_SPOT_CN_IRON_ORE,FUT_DCE_I,SPOT_CN_IRON_ORE,I,IRON_ORE,铁矿石,铁矿石现货,DCE,大连商品交易所,IRON_ORE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
SPOT_MAP_FUT_DCE_J_SPOT_CN_COKE,FUT_DCE_J,SPOT_CN_COKE,J,COKE,焦炭,焦炭现货,DCE,大连商品交易所,COKE,FUTURE_SPOT,FUTURE_SPOT_BASIS,COMMODITY_SPOT,FUTURE_TRADABLE_SPOT_REFERENCE,LONG_SPOT_SHORT_FUTURE_OR_REVERSE_NEED_CASH_MARKET,Y,期货与对应商品现货之间的映射，可用于期现基差、仓单和现货价格联动分析。
