品种类型,交易所代码,交易所名称,品种代码,品种名称,合约行数,优先级,合约月份规则,合约数量规则,合约数量规则标准化代码,到期日规则,最后交易日规则,是否节假日顺延,行权方式,交割方式,规则来源,核验状态,备注
FUTURE,CFFEX,中国金融期货交易所,IC,IC,142,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CFFEX,中国金融期货交易所,IF,IF,202,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CFFEX,中国金融期货交易所,IH,IH,142,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CFFEX,中国金融期货交易所,IM,IM,55,高,当月、下月及随后两个季月,二近二季,INDEX_FUTURE_2_NEAR_2_QUARTER,合约到期月份的第三个星期五，遇国家法定假日顺延,合约到期月份的第三个星期五，遇国家法定假日顺延,是,不适用,现金交割,中国金融期货交易所股指期货合约规则，待人工复核,预填待人工核验,股指期货规则预填；请人工核对中金所官网
FUTURE,CZCE,郑州商品交易所,CF,郑棉,150,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,MA,甲醇,146,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,OI,菜油,86,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,RM,菜粕,101,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,SR,白糖,129,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,CZCE,郑州商品交易所,TA,PTA,246,高,具体合约月份按郑州商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,郑州商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,A,豆一,173,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,B,豆二,190,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,C,玉米,137,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,M,豆粕,206,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,P,棕榈油,235,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,DCE,大连商品交易所,Y,豆油,172,高,具体合约月份按大连商品交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约日期；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,大连商品交易所品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,INE,上海国际能源交易中心,LU,低硫燃料油,79,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,INE,上海国际能源交易中心,NR,号胶,90,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,INE,上海国际能源交易中心,SC,原油,115,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,AG,沪银,179,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,AL,沪铝,387,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,AU,沪金,226,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,CU,沪铜,387,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,FU,燃油,257,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,HC,热轧卷板,157,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,NI,沪镍,145,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,PB,沪铅,191,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,RB,螺纹钢,215,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,RU,橡胶,325,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,SN,沪锡,145,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
FUTURE,SHFE,上海期货交易所,ZN,沪锌,241,高,具体合约月份按交易所各品种合约文本执行,待人工按品种核验,FUTURE_RULE_PENDING_MANUAL,Tushare已提供具体合约最后交易日/最后交割日；规则文本待人工按交易所品种合约核验,待人工按品种核验,待人工核验,不适用,实物交割,上海期货交易所/上海国际能源交易中心品种合约文本，待人工复核,预填待人工核验,商品期货规则预填；需按具体品种合约文本核验
OPTION,CZCE,郑州商品交易所,CF,棉花期权,388,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,CZCE,郑州商品交易所,MA,甲醇期权,879,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,CZCE,郑州商品交易所,OI,菜籽油期权,338,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,CZCE,郑州商品交易所,RM,菜粕期权,502,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,CZCE,郑州商品交易所,SR,白糖期权,378,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,CZCE,郑州商品交易所,TA,PTA期权,787,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,DCE,大连商品交易所,A,豆一期权,334,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,DCE,大连商品交易所,B,豆二期权,539,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,DCE,大连商品交易所,C,玉米期权,578,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,DCE,大连商品交易所,M,豆粕期权,334,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,DCE,大连商品交易所,P,棕榈油期权,750,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,DCE,大连商品交易所,Y,豆油期权,422,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,INE,上海国际能源交易中心,NR,20号胶期权,112,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,INE,上海国际能源交易中心,SC,原油期权,4814,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,AG,白银期权,3615,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,AL,铝期权,761,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,AU,黄金期权,1464,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,CU,铜期权,651,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,FU,燃料油期权,820,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,NI,镍期权,495,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,PB,铅期权,312,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,RB,螺纹钢期权,269,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,RU,天然橡胶期权,336,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,SN,锡期权,597,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
OPTION,SHFE,上海期货交易所,ZN,锌期权,450,高,期货期权合约月份规则，待人工按交易所品种核验,待人工按交易所品种核验,FUTURE_OPTION_RULE_PENDING_MANUAL,Tushare已提供具体到期日/最后交易日；规则文本待人工按交易所品种核验,Tushare已提供具体最后交易日；规则文本待人工按交易所品种核验,待人工核验,美式,期货期权行权后转为相应期货持仓，待人工核验,交易所期权合约规则，待人工复核,预填待人工核验,商品期权规则预填；需按具体品种期权合约规则核验
